Roll Number,Section
2305474,CSE-14
2305531,CSE-14
2305558,CSE-14
2305600,CSE-14
2305644,CSE-14
2305671,CSE-14
2305674,CSE-14
2305751,CSE-14
2305752,CSE-14
2305758,CSE-14
2305842,CSE-14
2305845,CSE-14
2305874,CSE-14
2305880,CSE-14
23051011,CSE-14
23051183,CSE-14
23051193,CSE-14
23051215,CSE-14
23051228,CSE-14
23051235,CSE-14
23051292,CSE-14
23051294,CSE-14
23051320,CSE-14
23051344,CSE-14
23051373,CSE-14
23051391,CSE-14
23051405,CSE-14
23051441,CSE-14
23051455,CSE-14
23051468,CSE-14
23051494,CSE-14
23051500,CSE-14
23051613,CSE-14
23051625,CSE-14
23051634,CSE-14
23051899,CSE-14
23051974,CSE-14
23052158,CSE-14
23052201,CSE-14
23052202,CSE-14
23052362,CSE-14
23052381,CSE-14
23052424,CSE-14
23052429,CSE-14
23052449,CSE-14
23052598,CSE-14
23052618,CSE-14
23052907,CSE-14
23053019,CSE-14
23053042,CSE-14
23053056,CSE-14
23053066,CSE-14
23053150,CSE-14
23053210,CSE-14
23053213,CSE-14
23053235,CSE-14
23053238,CSE-14
23053260,CSE-14
23053265,CSE-14
23053326,CSE-14
23053447,CSE-14
23053524,CSE-14
23053525,CSE-14
23053552,CSE-14
23053559,CSE-14
23053620,CSE-14
23053631,CSE-14
23053661,CSE-14
23053678,CSE-14
23053795,CSE-14
23053837,CSE-14
23053838,CSE-14
24057002,CSE-14
24057035,CSE-14
24057068,CSE-14
24057107,CSE-14
2305070,CSE-15
2305119,CSE-15
2305239,CSE-15
2305317,CSE-15
2305385,CSE-15
2305469,CSE-15
2305562,CSE-15
2305745,CSE-15
2305805,CSE-15
2305847,CSE-15
2305853,CSE-15
2305854,CSE-15
23051051,CSE-15
23051158,CSE-15
23051167,CSE-15
23051189,CSE-15
23051213,CSE-15
23051249,CSE-15
23051251,CSE-15
23051259,CSE-15
23051285,CSE-15
23051304,CSE-15
23051341,CSE-15
23051346,CSE-15
23051399,CSE-15
23051476,CSE-15
23051546,CSE-15
23051628,CSE-15
23051962,CSE-15
23051977,CSE-15
23051980,CSE-15
23052006,CSE-15
23052044,CSE-15
23052051,CSE-15
23052070,CSE-15
23052178,CSE-15
23052181,CSE-15
23052227,CSE-15
23052251,CSE-15
23052320,CSE-15
23052348,CSE-15
23052358,CSE-15
23052587,CSE-15
23052659,CSE-15
23052663,CSE-15
23052666,CSE-15
23052667,CSE-15
23052674,CSE-15
23052683,CSE-15
23052778,CSE-15
23052787,CSE-15
23052825,CSE-15
23052876,CSE-15
23052919,CSE-15
23052939,CSE-15
23052941,CSE-15
23052995,CSE-15
23052998,CSE-15
23053043,CSE-15
23053187,CSE-15
23053215,CSE-15
23053247,CSE-15
23053437,CSE-15
23053460,CSE-15
23053569,CSE-15
23053570,CSE-15
23053725,CSE-15
23053752,CSE-15
23053753,CSE-15
23053760,CSE-15
23053921,CSE-15
23053936,CSE-15
24057015,CSE-15
24057066,CSE-15
24057073,CSE-15
2305043,CSE-16
2305064,CSE-16
2305068,CSE-16
2305069,CSE-16
2305116,CSE-16
2305288,CSE-16
2305352,CSE-16
2305366,CSE-16
2305399,CSE-16
2305467,CSE-16
2305487,CSE-16
2305490,CSE-16
2305519,CSE-16
2305527,CSE-16
2305684,CSE-16
2305708,CSE-16
2305709,CSE-16
23051117,CSE-16
23051210,CSE-16
23051223,CSE-16
23051260,CSE-16
23051298,CSE-16
23051311,CSE-16
23051461,CSE-16
23051580,CSE-16
23051582,CSE-16
23051585,CSE-16
23051616,CSE-16
23051896,CSE-16
23051952,CSE-16
